Motivo del viaje;Total;Fecha
Negocio;347876.0;201601
Negocio;788935.0;201602
Negocio;1176696.0;201603
Negocio;1635895.0;201604
Negocio;2114623.0;201605
Negocio;2556752.0;201606
Negocio;2860235.0;201607
Negocio;2982609.0;201608
Negocio;3379053.0;201609
Negocio;3924705.0;201610
Negocio;4341534.0;201611
Negocio;4679698.0;201612
Negocio;323058.0;201701
Negocio;669061.0;201702
Negocio;1113197.0;201703
Negocio;1476970.0;201704
Negocio;1970935.0;201705
Negocio;2473142.0;201706
Negocio;2828260.0;201707
Negocio;2995612.0;201708
Negocio;3508080.0;201709
Negocio;3998447.0;201710
Negocio;4377159.0;201711
Negocio;4720463.0;201712
Negocio;270147.0;201801
Negocio;705278.0;201802
Negocio;1292104.0;201803
Negocio;1806383.0;201804
Negocio;2229305.0;201805
Negocio;2721772.0;201806
Negocio;3058788.0;201807
Negocio;3223979.0;201808
Negocio;3731343.0;201809
Negocio;4257121.0;201810
Negocio;4702239.0;201811
Negocio;5023355.0;201812
Negocio;342198.0;201901
Negocio;768676.0;201902
Negocio;1255893.0;201903
Negocio;1695951.0;201904
Negocio;2240942.0;201905
Negocio;2830006.0;201906
Negocio;3255821.0;201907
Negocio;3442658.0;201908
Negocio;3956671.0;201909
Negocio;4534337.0;201910
Negocio;5024439.0;201911
Negocio;5409183.0;201912
Negocio;370060.0;202001
Negocio;723675.0;202002
Negocio;860788.0;202003
Negocio;860788.0;202004
Negocio;860788.0;202005
Negocio;873469.0;202006
Negocio;970868.0;202007
Negocio;1016668.0;202008
Negocio;1091545.0;202009
Negocio;1162013.0;202010
Negocio;1243006.0;202011
Negocio;1346060.0;202012
Ocio;2671999.0;201601
Ocio;5486263.0;201602
Ocio;9233320.0;201603
Ocio;14154335.0;201604
Ocio;20232525.0;201605
Ocio;26823889.0;201606
Ocio;35488643.0;201607
Ocio;44785543.0;201608
Ocio;51843400.0;201609
Ocio;57943855.0;201610
Ocio;61195806.0;201611
Ocio;64311744.0;201612
Ocio;3142597.0;201701
Ocio;6530103.0;201702
Ocio;10525190.0;201703
Ocio;16590874.0;201704
Ocio;23486441.0;201705
Ocio;30888018.0;201706
Ocio;40315979.0;201707
Ocio;49911995.0;201708
Ocio;57861337.0;201709
Ocio;64193148.0;201710
Ocio;67869730.0;201711
Ocio;71087103.0;201712
Ocio;3462200.0;201801
Ocio;6920572.0;201802
Ocio;11262231.0;201803
Ocio;17045027.0;201804
Ocio;24194611.0;201805
Ocio;31702741.0;201806
Ocio;40773063.0;201807
Ocio;50143792.0;201808
Ocio;58130853.0;201809
Ocio;64838279.0;201810
Ocio;68601647.0;201811
Ocio;72173054.0;201812
Ocio;3440353.0;201901
Ocio;6991015.0;201902
Ocio;11676316.0;201903
Ocio;17888882.0;201904
Ocio;24806870.0;201905
Ocio;32624486.0;201906
Ocio;41600133.0;201907
Ocio;51051583.0;201908
Ocio;58999137.0;201909
Ocio;65627411.0;201910
Ocio;69443262.0;201911
Ocio;72976423.0;201912
Ocio;3377951.0;202001
Ocio;7032701.0;202002
Ocio;8689820.0;202003
Ocio;8689820.0;202004
Ocio;8689820.0;202005
Ocio;8857453.0;202006
Ocio;10979570.0;202007
Ocio;13148925.0;202008
Ocio;14051513.0;202009
Ocio;14852465.0;202010
Ocio;15148112.0;202011
Ocio;15533526.0;202012
Otros motivos;506662.0;201601
Otros motivos;930065.0;201602
Otros motivos;1422453.0;201603
Otros motivos;2128566.0;201604
Otros motivos;2682802.0;201605
Otros motivos;3202067.0;201606
Otros motivos;3779622.0;201607
Otros motivos;4387820.0;201608
Otros motivos;4866126.0;201609
Otros motivos;5357740.0;201610
Otros motivos;5787222.0;201611
Otros motivos;6323567.0;201612
Otros motivos;440081.0;201701
Otros motivos;825709.0;201702
Otros motivos;1300430.0;201703
Otros motivos;1952567.0;201704
Otros motivos;2565682.0;201705
Otros motivos;3093874.0;201706
Otros motivos;3804232.0;201707
Otros motivos;4438609.0;201708
Otros motivos;4854068.0;201709
Otros motivos;5301821.0;201710
Otros motivos;5639102.0;201711
Otros motivos;6060956.0;201712
Otros motivos;374254.0;201801
Otros motivos;698798.0;201802
Otros motivos;1163500.0;201803
Otros motivos;1646802.0;201804
Otros motivos;2160345.0;201805
Otros motivos;2714054.0;201806
Otros motivos;3326962.0;201807
Otros motivos;3966803.0;201808
Otros motivos;4404687.0;201809
Otros motivos;4821343.0;201810
Otros motivos;5149730.0;201811
Otros motivos;5612005.0;201812
Otros motivos;413090.0;201901
Otros motivos;816455.0;201902
Otros motivos;1293514.0;201903
Otros motivos;1786923.0;201904
Otros motivos;2243149.0;201905
Otros motivos;2670361.0;201906
Otros motivos;3142170.0;201907
Otros motivos;3622250.0;201908
Otros motivos;4005834.0;201909
Otros motivos;4387643.0;201910
Otros motivos;4736712.0;201911
Otros motivos;5123547.0;201912
Otros motivos;385013.0;202001
Otros motivos;803991.0;202002
Otros motivos;1007021.0;202003
Otros motivos;1007021.0;202004
Otros motivos;1007021.0;202005
Otros motivos;1030979.0;202006
Otros motivos;1276242.0;202007
Otros motivos;1502064.0;202008
Otros motivos;1663469.0;202009
Otros motivos;1812821.0;202010
Otros motivos;1892996.0;202011
Otros motivos;2053516.0;202012
