Canarias;Cataluña;Comunidad Valenciana;Islas Baleares;Comunidad de Madrid;Andalucía;Fecha
1162023;1009971;377912;152665;454904;548318;201611
1250412;956468;366649;101338;431820;495562;201612
1193435;846213;402914;107156;489884;522009;201701
1183979;989198;429384;162771;450927;584543;201702
1283939;1155003;526701;325442;478054;720603;201703
1255062;1755019;749885;998445;672738;1044661;201704
993431;1920946;918843;1717352;624915;1176002;201705
1034652;2026356;873923;2101520;594801;1164980;201706
1186481;2557125;1217502;2484880;579523;1356267;201707
1165967;2567612;1158902;2352198;530335;1422593;201708
1111400;1999689;982638;2009288;639120;1327059;201709
1309652;1497032;812655;1256543;628904;1119427;201710
1239853;981462;452023;177426;534430;569632;201711
1256370;822765;400590;99275;476155;510486;201712
1183486;864798;450874;119437;536137;538026;201801
1192866;1015793;449519;156311;485810;579798;201802
1347702;1217330;625460;401293;560178;787749;201803
1103003;1570899;769612;930679;631303;1044566;201804
967209;1885365;910651;1708101;659045;1193716;201805
1001434;2104373;901232;2121434;603147;1168948;201806
1120219;2427842;1132280;2429816;619516;1327577;201807
1098384;2433300;1175555;2297469;507079;1424410;201808
1039221;2007474;1005841;2031600;697128;1319350;201809
1257744;1665215;861013;1284111;709987;1140163;201810
1184564;1034633;497041;188018;603691;604357;201811
1256190;969322;427830;183329;526753;552595;201812
1158782;910329;413553;141922;584339;574761;201901
1179673;1030292;459309;184351;499245;626983;201902
1340619;1280871;648462;365813;683364;842934;201903
1105470;1671426;826158;1081557;640694;1131483;201904
888777;1835129;857711;1701167;758323;1204749;201905
931782;2176726;938591;2065353;702026;1243394;201906
1031598;2378593;1243375;2344094;626031;1256656;201907
1040312;2363331;1270706;2256991;542359;1403701;201908
952069;2011704;1011901;2006475;667799;1375342;201909
1143699;1676430;870088;1224498;742086;1191120;201910
1173313;1047153;541121;182713;665927;614169;201911
1200768;993169;454520;124847;528787;557861;201912
1101164;870157;433023;103772;611184;605451;202001
1170238;966356;528712;185554;518594;626653;202002
459546;399140;248509;115784;250316;298332;202003
0;0;0;0;0;0;202004
0;0;0;0;0;0;202005
2201;76634;31487;28382;20522;14183;202006
215600;436742;383013;588431;76239;359725;202007
240666;459271;430092;453794;60816;364111;202008
92586;276064;185256;119279;48123;179214;202009
136896;230580;176971;84139;39575;143378;202010
160662;58794;53946;20102;32799;49227;202011
207064;97305;71865;22083;47885;60577;202012
